"NAME","CITY","COUNT"
JEAN BAPTISTE,PORT-AU-PRINCE,2908
AUGUSTIN,PORT-AU-PRINCE,2686
ANTOINE,PORT-AU-PRINCE,2668
DESIR,PORT-AU-PRINCE,2541
NOEL,PORT-AU-PRINCE,2161
TOUSSAINT,PORT-AU-PRINCE,2124
CADET,PORT-AU-PRINCE,2076
ALEXIS,PORT-AU-PRINCE,1953
SANON,PORT-AU-PRINCE,1930
LAGUERRE,PORT-AU-PRINCE,1927
JEAN LOUIS,PORT-AU-PRINCE,1927
DESIR,CARREFOUR,1878
JEAN BAPTISTE,CARREFOUR,1865
ALEXANDRE,PORT-AU-PRINCE,1811
AUGUSTE,PORT-AU-PRINCE,1804
AUGUSTIN,CAP-HAITIEN,1798
PIERRE LOUIS,PORT-AU-PRINCE,1756
ANTOINE,DELMAS,1726
AUGUSTIN,GONAIVES,1713
AUGUSTIN,DELMAS,1672
ANTOINE,CARREFOUR,1651
NOEL,DELMAS,1651
JEAN BAPTISTE,DELMAS,1642
ANTOINE,PETION-VILLE,1623
GUERRIER,PORT-AU-PRINCE,1610
AUGUSTIN,CARREFOUR,1585
AUGUSTIN,PETION-VILLE,1530
DESIR,DELMAS,1476
JEAN BAPTISTE,GONAIVES,1464
JULES,PORT-AU-PRINCE,1459
GEORGES,PORT-AU-PRINCE,1444
LAGUERRE,CARREFOUR,1422
NOEL,CAP-HAITIEN,1413
NICOLAS,PORT-AU-PRINCE,1409
TOUSSAINT,DELMAS,1403
ALEXIS,DELMAS,1393
MOISE,PORT-AU-PRINCE,1373
CADET,CARREFOUR,1371
SANON,CARREFOUR,1347
JEAN LOUIS,CARREFOUR,1346
AUGUSTIN,CROIX DES BOUQUETS,1328
ALEXIS,CARREFOUR,1309
NOEL,CARREFOUR,1306
NOEL,PETION-VILLE,1298
TOUSSAINT,CARREFOUR,1297
CADET,DELMAS,1280
TOUSSAINT,CAP-HAITIEN,1269
RENE,PORT-AU-PRINCE,1257
TOUSSAINT,PETION-VILLE,1249
GUERRIER,CARREFOUR,1206
CELESTIN,PORT-AU-PRINCE,1202
BIEN-AIME,PORT-AU-PRINCE,1202
ANTOINE,CROIX DES BOUQUETS,1195
FELIX,PORT-AU-PRINCE,1195
JEAN BAPTISTE,PETION-VILLE,1193
ANTOINE,JACMEL,1180
AUGUSTE,CARREFOUR,1173
JACQUES,PORT-AU-PRINCE,1172
ALEXANDRE,CARREFOUR,1171
NOEL,GONAIVES,1170
PIERRE-LOUIS,PORT-AU-PRINCE,1169
NOEL,CROIX DES BOUQUETS,1163
ANDRE,PORT-AU-PRINCE,1158
BERNARD,PORT-AU-PRINCE,1158
THOMAS,PORT-AU-PRINCE,1156
